_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db538c1ae1691ad071d89,1918,1919,1,2,,7389,Wilhelm Prandtl,C in 1918|,3758,Fritz Haber,1
633db537c1ae1691ad071c0d,1911,1911,0,1,,10270,Maximilian Wittich,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c0e,1920,1920,0,1,C in 1918|,3758,Fritz Haber,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c12,1915,1915,0,1,,10041,Rudolf Wegscheider,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c13,1907,1907,0,1,,284,Richard Abegg,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c18,1921,1921,0,1,,7542,Ludwig Ramberg,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c19,1921,1921,0,1,,4114,Walter Herz,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c1a,1913,1913,0,1,,8139,Carl Schall,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c1c,1921,1921,0,1,,5501,Thorvald Lindeman,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c1d,1921,1921,0,1,,6823,Sven Odèn,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c1e,1921,1921,0,1,,7739,Claus Riiber,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c1f,1920,1920,0,1,,2549,Carl Drucker,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c20,1910,1910,0,1,,2851,Rudolf C Eucken,C in 1920|,6650,Walther H Nernst,1
633db537c1ae1691ad071c22,1921,1921,0,1,,8662,Klas Sondén,C in 1920|,6650,Walther H Nernst,1
